addresses_roadtype_name,addresses_end_street_number,geo_epgs_4326_lon,values_attribute_name,estimated_dates,addresses_road_name,values_category,addresses_zip_code,secondary_filters_id,values_value,addresses_town,secondary_filters_name,timetable,secondary_filters_tree,start_date,addresses_district_name,end_date,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,secondary_filters_asia_id,secondary_filters_fullpath,geo_epgs_4326_lat,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
,,2.149917369654088,Tel.,,C Comte Borrell,Telèfons,8029,56731069,934449000,BARCELONA,Ensenyament infantil (3-6 anys),,651,,Eixample,,428926.0698134656,243,﻿75990008599,,True,2,,,9,1,Centre Educatiu IPSI,87009,1996-09-17T00:00:00,4582052.3698521,,2023-02-28T13:42:16.091286,65103003000001,Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (3-6 anys),41.38686117014667,,134508,la Nova Esquerra de l'Eixample,True,20001
,,2.149917369654088,Tel.,,C Comte Borrell,Telèfons,8029,56732068,934449000,BARCELONA,Educació primària,,651,,Eixample,,428926.0698134656,243,﻿75990008599,,True,2,,,9,2,Centre Educatiu IPSI,87009,1996-09-17T00:00:00,4582052.3698521,,2023-02-28T13:42:16.091286,65103003001000,Planol BCN >> Educació >> Ensenyament reglat >> Educació primària,41.38686117014667,,134508,la Nova Esquerra de l'Eixample,True,20001
,,2.149917369654088,Tel.,,C Comte Borrell,Telèfons,8029,56732069,934449000,BARCELONA,Educació secundària,,651,,Eixample,,428926.0698134656,243,﻿75990008599,,True,2,,,9,3,Centre Educatiu IPSI,87009,1996-09-17T00:00:00,4582052.3698521,,2023-02-28T13:42:16.091286,65103003001001,Planol BCN >> Educació >> Ensenyament reglat >> Educació secundària,41.38686117014667,,134508,la Nova Esquerra de l'Eixample,True,20001
,,2.1653537753375733,Tel.,,C Grassot,Telèfons,8025,56732070,934576011,BARCELONA,Música,,651,,Gràcia,,430236.3606560931,92,﻿27113254,,True,6,,,32,4,Escola de Música Sant Josep,149605,2000-01-27T00:00:00,4584081.457331103,,2018-02-27T14:20:56,65103003001002,Planol BCN >> Educació >> Ensenyament reglat >> Música,41.405251173903096,,128735,el Camp d'en Grassot i Gràcia Nova,True,20001
,,2.1793314073002037,Tel.,,C Sant Quintí,Telèfons,8026,56731068,934366162,BARCELONA,Ensenyament infantil (0-3 anys),,651,,Sant Martí,,431412.22607321513,19,﻿98033162921,,True,10,,,64,5,Escola d'Educació Infantil Grimm,310008,1998-02-02T00:00:00,4584866.0329212835,,2016-10-26T14:10:09,65103003000000,Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (0-3 anys),41.4124187717701,,199247,el Camp de l'Arpa del Clot,True,20001
,,2.1793314073002037,Tel.,,C Sant Quintí,Telèfons,8026,56731069,934366162,BARCELONA,Ensenyament infantil (3-6 anys),,651,,Sant Martí,,431412.22607321513,19,﻿98033162921,,True,10,,,64,6,Escola d'Educació Infantil Grimm,310008,1998-02-02T00:00:00,4584866.0329212835,,2016-10-26T14:10:09,65103003000001,Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (3-6 anys),41.4124187717701,,199247,el Camp de l'Arpa del Clot,True,20001
,,2.1411854663249623,Tel.,,C Noguera Pallaresa,Telèfons,8014,,932964996,BARCELONA,,,,,Sants-Montjuïc,,428181.05037602375,59,﻿1096153925,,True,3,,,16,34,Centre Estudis Naturopatia Naima,228600,2001-04-06T00:00:00,4580550.5633527255,,2007-10-09T12:30:45,,,41.37326878650968,,132176,la Bordeta,True,20001
,,2.200145848591939,Tel.,,C Pujades,Telèfons,8005,56732070,934853699,BARCELONA,Música,,651,,Sant Martí,,433140.2485422849,176,﻿92086015466,92086015460,True,10,,,68,7,Aula de Música,270901,1989-02-27T00:00:00,4583596.858643833,Centre Moral i Cultural del Poblenou,2018-02-28T12:18:56,65103003001002,Planol BCN >> Educació >> Ensenyament reglat >> Música,41.401133285381995,,164323,el Poblenou,True,20001
,,2.1409646122875134,Tel.,,Av Diagonal,Telèfons,8021,56733070,932092966,BARCELONA,Informàtica,,651,,Sarrià-Sant Gervasi,,428183.50090164633,618,﻿75990062008,,True,5,,,26,8,Centre Bit Formació Informàtica *Avinguda Diagonal,144601,1996-09-18T00:00:00,4582661.208754659,,2023-10-03T10:43:50.033426,65103003002002,Planol BCN >> Educació >> Ensenyament no reglat >> Informàtica,41.39227879510722,,139130,Sant Gervasi - Galvany,True,20001
,,2.1933428895948404,Tel.,,C Roc Boronat,Telèfons,8018,56732071,93 542 20 00,BARCELONA,Universitats,,651,,Sant Martí,,432574.3789791466,138,﻿99400213357,,True,10,,,66,9,Facultat de Comunicació *Campus de la Comunicació-Poblenou - UPF,181608,2008-09-19T00:00:00,4583902.194553516,,2024-11-19T17:22:39.591188,65103003001003,Planol BCN >> Educació >> Ensenyament reglat >> Universitats,41.40383610308015,,221222,el Parc i la Llacuna del Poblenou,True,20001
,,2.178268491327398,Tel.,,G.V. Corts Catalanes,Telèfons,8013,,932321612,BARCELONA,,,,,Eixample,,431307.8264218834,707,﻿75990071144,,True,2,,,5,10,Collège Ferdinand de Lesseps,169409,1996-09-18T00:00:00,4583226.032893674,,2016-10-26T13:35:23,,,41.39763890839236,,139308,el Fort Pienc,True,20001
,,2.1532867495245505,Tel.,,Carrer del Rosselló,Telèfons,8036,,93 227 18 06,Barcelona,,,,,Eixample,,429211.3299647474,132,﻿99400248152,,True,2,,,8,11,Institut de Salut Global de Barcelona,289105,2010-06-03T17:57:43,4582412.872394328,,2025-07-18T10:19:45.073117,,,41.39013324147976,,223622,l'Antiga Esquerra de l'Eixample,True,20001
,,2.132487351954574,Tel.,,Pg Bonanova,Telèfons,8022,56732070,932540950,BARCELONA,Música,,651,,Sarrià-Sant Gervasi,,427490.3043031039,8,﻿99400288244,75990334003,True,5,,,25,12,Escola de Música La Salle Bonanova,44709,2012-03-16T00:00:00,4584218.225419785,Centre Educatiu La Salle Bonanova,2018-02-28T14:20:18,65103003001002,Planol BCN >> Educació >> Ensenyament reglat >> Música,41.4062399904267,,224633,Sant Gervasi - la Bonanova,True,20001
,,2.116705831526212,Tel.,,Pg Santa Eulàlia,Telèfons,8017,,932806696,BARCELONA,,,,,Sarrià-Sant Gervasi,,426168.83718807565,4,﻿92086033110,,True,5,,,23,13,INSA Escola Superior de Comunicació Empresarial i Secretariat de Direcció,315500,1990-05-17T00:00:00,4583998.142280091,,2012-03-14T14:18:31,,,41.40413752293877,,167908,Sarrià,True,20001
,345,2.1381210907130104,Tel.,,Travessera de les Corts,Telèfons,8029,56732073,900 670 450,Barcelona,Formació professional,,651,,Les Corts,,427941.85396853,323,﻿99400681792,,True,4,,,19,14,Escola Superior de Disseny Campusnet,343903,2021-12-14T12:07:15.755867,4582269.22284126,,2024-03-20T11:50:02.080689,65103003001005,Planol BCN >> Educació >> Ensenyament reglat >> Formació professional,41.38872671890697,,435761,les Corts,True,20001
,8,2.1629307624189775,Tel.,,Carrer de Viladomat,Telèfons,8015,56731069,93 324 84 42,Barcelona,Ensenyament infantil (3-6 anys),,651,,Eixample,,430002.002,2,﻿1081092719,,True,2,,,10,15,Escola Ferran Sunyer,361406,2001-03-22T00:00:00,4580788.5,,2025-03-12T14:38:11.446351,65103003000001,Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (3-6 anys),41.37557224589931,,132275,Sant Antoni,True,20001
,8,2.1629307624189775,Tel.,,Carrer de Viladomat,Telèfons,8015,56732068,93 324 84 42,Barcelona,Educació primària,,651,,Eixample,,430002.002,2,﻿1081092719,,True,2,,,10,16,Escola Ferran Sunyer,361406,2001-03-22T00:00:00,4580788.5,,2025-03-12T14:38:11.446351,65103003001000,Planol BCN >> Educació >> Ensenyament reglat >> Educació primària,41.37557224589931,,132275,Sant Antoni,True,20001
,,2.1804096444002057,Tel.,,C Francesc Tàrrega,Telèfons,8027,,933517800,BARCELONA,,,,,Sant Andreu,,431512.5528794669,14,﻿99400008122,,True,9,,,62,17,Centre de Formació Cief-Acció,133300,2002-06-22T14:09:40,4585944.238431132,,2023-10-03T10:36:48.031035,,,41.42213835875653,,205289,el Congrés i els Indians,True,20001
,,2.1940614144109145,Tel.,,C Andrade,Telèfons,8018,56733069,931652490,BARCELONA,Idiomes,,651,,Sant Martí,,432641.6511705606,15,﻿99400355657,,True,10,,,65,18,Centre de Formació Edukative,15201,2014-10-14T14:01:10,4584676.85101286,,2017-03-13T09:23:34,65103003002001,Planol BCN >> Educació >> Ensenyament no reglat >> Idiomes,41.410818846031866,,226625,el Clot,True,20001
,,2.169054051396589,Tel.,,Rda Guinardó,Telèfons,8024,,93 435 3688,BARCELONA,,,,,Horta-Guinardó,,430554.15338661725,65,﻿75990067422,,True,7,,,33,19,Escola MicroFusa,152905,1996-09-18T00:00:00,4584964.893782358,,2023-10-03T10:43:39.545299,,,41.41323549037752,,139722,el Baix Guinardó,True,20001
,,2.1737571648009806,Tel.,,C Consell de Cent,Telèfons,8009,,931824606,BARCELONA,,,,,Eixample,,430930.33709709044,435,﻿99400263575,99400263571,True,2,,,7,20,Escola Estudi Atrium,89004,2011-01-24T14:10:23,4583191.425154372,Teatre Sala Atrium,2025-08-04T10:43:03.240866,,,41.39729487181366,,223224,la Dreta de l'Eixample,True,20001
,,2.1378928721475967,Tel.,,Carrer de la Constitució,Telèfons,8014,56731069,93 421 71 50,Barcelona,Ensenyament infantil (3-6 anys),,651,,Sants-Montjuïc,,427902.0251681852,15,﻿92168166156,,True,3,,,16,21,Centre Educatiu FEP Sant Medir,89707,1987-09-29T00:00:00,4580183.57587625,,2025-03-14T09:31:29.381555,65103003000001,Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (3-6 anys),41.36993851664151,c. Constitució,172740,la Bordeta,True,20001
,,2.1378928721475967,Tel.,,Carrer de la Constitució,Telèfons,8014,56732068,93 421 71 50,Barcelona,Educació primària,,651,,Sants-Montjuïc,,427902.0251681852,15,﻿92168166156,,True,3,,,16,22,Centre Educatiu FEP Sant Medir,89707,1987-09-29T00:00:00,4580183.57587625,,2025-03-14T09:31:29.381555,65103003001000,Planol BCN >> Educació >> Ensenyament reglat >> Educació primària,41.36993851664151,c. Constitució,172740,la Bordeta,True,20001
